,id,english_writing_host,compound_descr,negativity_descr,neutrality_descr,positivity_descr,compound_neigh_over,negativity_neigh_over,neutrality_neigh_over,positivity_neigh_over,compound_host_ab,negativity_host_ab,neutrality_host_ab,positivity_host_ab
36,199099,1,0.34,0.0,0.985,0.015,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
37,199189,1,0.9419,0.0,0.899,0.101,0.0,0.0,1.0,0.0,0.7096,0.0,0.753,0.247
38,199256,0,-0.2975,0.033,0.95,0.017,0.0,0.0,1.0,0.0,0.9151,0.0,0.439,0.561
39,199797,0,0.9524,0.0,0.892,0.108,0.0,0.0,1.0,0.0,0.926,0.0,0.491,0.509
40,199821,1,0.9607,0.0,0.865,0.135,0.0,0.0,1.0,0.0,0.5399,0.0,0.914,0.086
41,199840,1,0.9359,0.0,0.89,0.11,0.0,0.0,1.0,0.0,0.3612,0.0,0.762,0.238
42,199843,1,0.9216,0.014,0.884,0.102,0.0,0.0,1.0,0.0,0.5399,0.0,0.914,0.086
43,199850,1,0.9792,0.021,0.794,0.185,0.0,0.0,1.0,0.0,0.9836,0.0,0.666,0.334
44,200782,1,0.9633,0.011,0.859,0.13,0.5859,0.0,0.678,0.322,0.996,0.0,0.617,0.383
45,200785,1,0.9862,0.0,0.809,0.191,0.0,0.0,1.0,0.0,0.996,0.0,0.617,0.383
46,200791,1,0.9596,0.013,0.858,0.129,0.5719,0.0,0.213,0.787,0.996,0.0,0.617,0.383
47,200795,1,0.91,0.0,0.793,0.207,0.0,0.0,1.0,0.0,0.996,0.0,0.617,0.383
48,201628,1,0.9856,0.0,0.824,0.176,0.0,0.0,1.0,0.0,0.9186,0.0,0.435,0.565
49,202055,1,0.4019,0.021,0.925,0.054,0.946,0.0,0.897,0.103,0.9965,0.0,0.778,0.222
50,202077,1,0.8957,0.0,0.927,0.073,0.0,0.0,1.0,0.0,0.9965,0.0,0.778,0.222
51,205381,1,0.9701,0.025,0.815,0.16,0.0,0.0,1.0,0.0,0.9509,0.026,0.64,0.335
52,205393,1,0.9674,0.024,0.831,0.145,0.0,0.0,1.0,0.0,0.9509,0.026,0.64,0.335
53,205401,1,0.9458,0.025,0.858,0.117,0.0,0.0,1.0,0.0,0.9509,0.026,0.64,0.335
54,205415,1,0.975,0.012,0.841,0.147,0.0,0.0,1.0,0.0,0.9509,0.026,0.64,0.335
55,205431,1,0.9787,0.012,0.836,0.153,0.0,0.0,1.0,0.0,0.9509,0.026,0.64,0.335
56,206288,0,0.4215,0.0,0.968,0.032,0.0,0.0,1.0,0.0,0.8906,0.0,0.608,0.392
57,207713,1,0.8553,0.033,0.879,0.088,0.6801,0.034,0.862,0.105,0.7749,0.0,0.475,0.525
58,210348,1,0.9902,0.019,0.763,0.218,0.7717,0.0,0.854,0.146,0.9422,0.031,0.779,0.19
59,211291,1,0.9862,0.0,0.809,0.191,0.0,0.0,1.0,0.0,0.784,0.0,0.683,0.317
60,211374,1,0.9838,0.0,0.849,0.151,0.9853,0.0,0.788,0.212,-0.9686,0.074,0.869,0.057
61,211800,1,0.9359,0.0,0.91,0.09,0.0,0.0,1.0,0.0,0.3612,0.0,0.884,0.116
62,212482,1,0.9626,0.0,0.871,0.129,0.3182,0.0,0.723,0.277,0.9808,0.0,0.521,0.479
63,212517,1,0.9297,0.049,0.792,0.159,0.0,0.0,1.0,0.0,0.9925,0.0,0.642,0.358
64,213707,1,0.9728,0.0,0.853,0.147,0.0,0.0,1.0,0.0,0.9937,0.0,0.627,0.373
65,216529,1,0.9892,0.017,0.767,0.216,0.9637,0.0,0.875,0.125,0.0,0.0,1.0,0.0
66,217148,0,0.9392,0.008,0.898,0.094,0.0,0.0,1.0,0.0,0.8934,0.0,0.883,0.117
67,218080,1,0.6908,0.077,0.765,0.158,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,218860,1,0.8271,0.0,0.941,0.059,0.0,0.0,1.0,0.0,0.946,0.0,0.693,0.307
69,222924,0,0.9037,0.018,0.866,0.116,0.0,0.0,1.0,0.0,0.7196,0.0,0.708,0.292
70,223041,1,0.8398,0.069,0.795,0.136,0.0,0.0,1.0,0.0,0.4534,0.085,0.802,0.113
71,225414,1,0.7506,0.0,0.959,0.041,0.0,0.0,1.0,0.0,0.4404,0.0,0.884,0.116
72,225421,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4926,0.0,0.825,0.175
73,226540,1,0.831,0.0,0.93,0.07,0.7408,0.0,0.832,0.168,0.6369,0.0,0.877,0.123
74,227106,0,0.8807,0.0,0.801,0.199,0.0,0.0,1.0,0.0,0.7644,0.0,0.603,0.397
75,227892,1,0.9738,0.0,0.853,0.147,0.0,0.0,1.0,0.0,0.9037,0.025,0.811,0.163
76,228721,1,0.9738,0.015,0.825,0.161,0.0,0.0,1.0,0.0,0.7177,0.0,0.715,0.285
77,228867,1,-0.6103,0.098,0.826,0.076,0.9761,0.0,0.829,0.171,0.0,0.0,0.0,0.0
78,230331,1,0.7184,0.014,0.926,0.059,0.0,0.0,1.0,0.0,0.5093,0.0,0.785,0.215
79,232430,1,0.7184,0.0,0.956,0.044,0.0,0.0,1.0,0.0,0.9459,0.0,0.511,0.489
80,233119,1,0.946,0.0,0.901,0.099,0.9286,0.0,0.905,0.095,0.991,0.0,0.744,0.256
81,240218,1,0.9827,0.0,0.83,0.17,0.3182,0.0,0.919,0.081,0.9244,0.0,0.645,0.355
82,241375,0,0.7076,0.057,0.841,0.102,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
83,243209,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,245670,0,0.967,0.024,0.837,0.138,0.5423,0.0,0.933,0.067,0.4404,0.0,0.818,0.182
85,252987,1,0.9845,0.037,0.772,0.192,0.0,0.0,1.0,0.0,0.4404,0.0,0.791,0.209
86,254653,1,0.9822,0.0,0.811,0.189,0.2023,0.0,0.948,0.052,0.9756,0.0,0.887,0.113
87,266180,1,0.9666,0.0,0.878,0.122,0.0,0.0,1.0,0.0,0.9022,0.0,0.754,0.246
88,280995,1,0.765,0.0,0.959,0.041,0.0,0.0,1.0,0.0,0.991,0.0,0.744,0.256
89,285938,1,0.9758,0.0,0.849,0.151,0.8481,0.0,0.879,0.121,0.8316,0.0,0.874,0.126
90,309196,0,0.9792,0.012,0.827,0.161,0.6249,0.0,0.785,0.215,0.9336,0.0,0.68,0.32
91,311198,1,0.9345,0.031,0.771,0.198,0.0,0.0,1.0,0.0,0.7177,0.0,0.917,0.083
92,311242,1,0.8994,0.0,0.92,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
93,315684,1,0.8553,0.009,0.924,0.067,0.0,0.0,1.0,0.0,0.9201,0.0,0.637,0.363
94,320196,1,0.9231,0.0,0.922,0.078,0.0,0.0,1.0,0.0,0.8852,0.0,0.687,0.313
95,321542,1,0.967,0.021,0.836,0.143,0.6588,0.0,0.477,0.523,0.6887,0.0,0.75,0.25
96,392399,1,0.8478,0.013,0.909,0.078,0.0,0.0,1.0,0.0,0.8687,0.0,0.588,0.412
97,406404,1,0.9253,0.044,0.839,0.117,0.0,0.0,1.0,0.0,0.8807,0.0,0.693,0.307
98,483093,1,0.8517,0.025,0.896,0.079,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
99,485613,1,0.9911,0.0,0.79,0.21,0.9306,0.0,0.827,0.173,0.8316,0.0,0.874,0.126
100,502791,0,0.9761,0.008,0.825,0.166,0.872,0.0,0.79,0.21,0.4404,0.0,0.818,0.182
101,505041,1,0.991,0.019,0.76,0.222,0.5672,0.0,0.897,0.103,0.9422,0.031,0.779,0.19
102,526430,1,0.964,0.011,0.859,0.13,0.0,0.0,1.0,0.0,0.6652,0.056,0.754,0.19
103,532047,1,0.765,0.0,0.959,0.041,0.0,0.0,1.0,0.0,0.991,0.0,0.744,0.256
104,532049,1,0.9285,0.0,0.904,0.096,0.0,0.0,1.0,0.0,0.991,0.0,0.744,0.256
105,539561,1,0.7506,0.015,0.933,0.052,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
106,548958,1,0.9493,0.013,0.872,0.115,0.0,0.0,1.0,0.0,0.7196,0.0,0.708,0.292
107,574143,0,0.9822,0.0,0.818,0.182,0.0,0.0,1.0,0.0,0.5267,0.0,0.905,0.095
108,577095,1,0.9313,0.03,0.841,0.129,0.0,0.0,1.0,0.0,0.9539,0.0,0.396,0.604
109,603977,0,0.9686,0.0,0.875,0.125,0.4754,0.0,0.846,0.154,0.9906,0.0,0.699,0.301
110,609851,1,0.9892,0.0,0.819,0.181,0.4588,0.025,0.905,0.071,0.9538,0.0,0.434,0.566
111,618795,1,0.9744,0.0,0.828,0.172,0.631,0.0,0.907,0.093,0.9381,0.0,0.779,0.221
112,620812,1,0.8402,0.0,0.882,0.118,0.0,0.0,1.0,0.0,0.7959,0.0,0.826,0.174
113,625551,0,0.7269,0.012,0.931,0.057,0.0,0.0,1.0,0.0,0.9896,0.016,0.655,0.329
114,633836,1,0.9493,0.027,0.847,0.126,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
115,650265,1,0.9371,0.0,0.901,0.099,0.8442,0.0,0.576,0.424,0.0,0.0,1.0,0.0
116,661006,1,0.8353,0.028,0.871,0.101,0.5244,0.0,0.371,0.629,0.0,0.0,0.0,0.0
117,663362,1,0.6249,0.0,0.945,0.055,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,664050,1,0.4927,0.0,0.949,0.051,0.0,0.0,1.0,0.0,0.7845,0.0,0.767,0.233
119,667321,1,-0.6476,0.042,0.934,0.024,0.0,0.0,1.0,0.0,0.8591,0.0,0.758,0.242
120,668844,1,0.9588,0.0,0.887,0.113,0.0,0.0,1.0,0.0,0.7675,0.0,0.741,0.259
121,669550,1,0.9799,0.0,0.848,0.152,0.7845,0.0,0.685,0.315,0.9501,0.0,0.683,0.317
122,675433,0,0.891,0.0,0.858,0.142,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
123,683263,1,0.9798,0.0,0.836,0.164,0.8316,0.055,0.829,0.117,0.9715,0.0,0.668,0.332
124,684700,1,0.6967,0.0,0.91,0.09,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
125,689025,0,0.836,0.0,0.948,0.052,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
126,693402,1,0.8114,0.0,0.932,0.068,0.0,0.0,1.0,0.0,0.3818,0.0,0.809,0.191
127,694907,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8122,0.0,0.749,0.251
128,696997,1,0.9501,0.024,0.854,0.122,0.0,0.0,1.0,0.0,0.7717,0.021,0.841,0.138
129,698064,1,0.9402,0.0,0.91,0.09,0.3612,0.0,0.896,0.104,0.0,0.0,1.0,0.0
130,700603,1,0.9486,0.045,0.796,0.158,0.7571,0.0,0.735,0.265,0.5334,0.0,0.705,0.295
131,701005,1,0.9666,0.0,0.87,0.13,0.0,0.0,1.0,0.0,0.7712,0.0,0.74,0.26
132,701673,1,0.296,0.012,0.953,0.035,0.0,0.0,1.0,0.0,-0.5719,0.125,0.776,0.099
133,701954,0,0.9589,0.023,0.861,0.116,0.0,0.0,1.0,0.0,0.5719,0.0,0.748,0.252
134,702583,0,0.2415,0.018,0.943,0.039,0.0,0.0,1.0,0.0,0.4215,0.0,0.0,1.0
135,703539,0,0.9037,0.018,0.866,0.116,0.0,0.0,1.0,0.0,0.7196,0.0,0.708,0.292
136,705120,1,-0.7003,0.066,0.908,0.026,0.6239,0.0,0.88,0.12,0.5399,0.0,0.858,0.142
137,706874,0,0.9752,0.0,0.858,0.142,0.0,0.0,1.0,0.0,0.9167,0.0,0.569,0.431
138,710489,1,0.9421,0.0,0.906,0.094,0.8625,0.022,0.863,0.116,0.8306,0.0,0.607,0.393
139,710595,1,0.7871,0.0,0.716,0.284,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140,710604,1,0.7871,0.0,0.716,0.284,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141,710884,1,0.7871,0.0,0.716,0.284,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
142,710990,1,0.765,0.0,0.95,0.05,0.0,0.0,1.0,0.0,0.5994,0.0,0.606,0.394
143,711721,1,0.9868,0.007,0.79,0.203,0.5927,0.0,0.826,0.174,0.9623,0.0,0.591,0.409
144,713391,1,0.7871,0.0,0.716,0.284,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
145,717444,0,0.9888,0.0,0.798,0.202,0.0,0.0,1.0,0.0,0.9167,0.0,0.569,0.431
146,728525,1,0.3182,0.0,0.892,0.108,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
147,740948,1,0.8955,0.013,0.903,0.084,0.4588,0.0,0.944,0.056,0.9117,0.0,0.737,0.263
148,751730,0,0.9545,0.0,0.893,0.107,0.0,0.0,1.0,0.0,-0.4583,0.167,0.794,0.039
149,763520,1,0.9765,0.0,0.854,0.146,0.0,0.0,1.0,0.0,0.8591,0.0,0.612,0.388
150,774834,1,0.25,0.0,0.98,0.02,0.0,0.0,1.0,0.0,0.9733,0.034,0.817,0.149
151,779667,1,0.9201,0.012,0.904,0.084,0.34,0.0,0.965,0.035,0.9589,0.0,0.525,0.475
152,802738,1,0.8999,0.015,0.887,0.098,0.0,0.0,1.0,0.0,0.9246,0.0,0.711,0.289
153,807951,1,0.5267,0.013,0.952,0.035,0.5719,0.0,0.654,0.346,0.4019,0.0,0.828,0.172
154,817975,1,0.9298,0.0,0.831,0.169,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
155,820826,0,0.8953,0.013,0.913,0.074,0.6908,0.0,0.868,0.132,0.7566,0.0,0.783,0.217
156,837679,1,0.8225,0.0,0.947,0.053,0.2732,0.0,0.969,0.031,0.3612,0.0,0.872,0.128
157,861804,0,0.8748,0.02,0.87,0.11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
158,907717,1,0.9354,0.0,0.863,0.137,0.0,0.0,1.0,0.0,-0.4184,0.051,0.902,0.047
159,910680,0,0.9849,0.0,0.767,0.233,0.0,0.0,1.0,0.0,0.8777,0.0,0.563,0.437
160,915995,0,0.8073,0.0,0.944,0.056,0.0,0.0,1.0,0.0,0.4767,0.0,0.823,0.177
161,917644,1,0.8418,0.044,0.847,0.11,0.0,0.0,1.0,0.0,0.891,0.0,0.608,0.392
162,921010,1,0.9757,0.0,0.779,0.221,0.0,0.0,1.0,0.0,0.4939,0.0,0.775,0.225
163,921158,1,0.9885,0.0,0.796,0.204,0.0,0.0,1.0,0.0,0.9693,0.0,0.753,0.247
164,921287,1,0.9496,0.0,0.814,0.186,0.0,0.0,1.0,0.0,0.4939,0.0,0.775,0.225
165,936808,1,0.9638,0.0,0.888,0.112,0.765,0.0,0.875,0.125,0.296,0.032,0.928,0.04
166,944648,0,0.6908,0.019,0.914,0.067,0.0,0.0,1.0,0.0,0.3612,0.0,0.839,0.161
167,947647,1,0.7096,0.014,0.928,0.058,0.4927,0.0,0.928,0.072,0.9731,0.0,0.783,0.217
168,958987,1,0.9935,0.013,0.701,0.286,0.0,0.0,1.0,0.0,0.996,0.0,0.617,0.383
169,960371,1,0.8608,0.0,0.923,0.077,0.0,0.0,1.0,0.0,0.4019,0.0,0.769,0.231
170,967705,0,0.9347,0.0,0.91,0.09,0.0,0.0,1.0,0.0,0.9325,0.0,0.725,0.275
171,973213,1,0.4215,0.0,0.978,0.022,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
172,974971,1,0.8221,0.0,0.948,0.052,0.0,0.0,1.0,0.0,0.9531,0.0,0.84,0.16
173,979733,0,0.8221,0.0,0.948,0.052,0.0,0.0,1.0,0.0,0.9531,0.0,0.84,0.16
174,991111,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
175,991132,1,0.9134,0.0,0.787,0.213,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
176,1040420,1,0.9783,0.012,0.826,0.162,0.0,0.0,1.0,0.0,0.9509,0.026,0.64,0.335
177,1053919,1,0.9081,0.008,0.912,0.08,0.0,0.0,1.0,0.0,0.8658,0.0,0.749,0.251
178,1057272,1,0.0,0.0,1.0,0.0,0.6369,0.0,0.884,0.116,0.6249,0.045,0.888,0.066
179,1062909,0,0.8271,0.0,0.821,0.179,0.0,0.0,1.0,0.0,0.7568,0.0,0.724,0.276
180,1064368,1,0.2263,0.0,0.972,0.028,0.0,0.0,1.0,0.0,0.8807,0.0,0.693,0.307
181,1071257,1,0.9926,0.0,0.777,0.223,0.8885,0.0,0.852,0.148,0.9602,0.0,0.711,0.289
182,1079223,1,0.765,0.0,0.936,0.064,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
183,1123061,1,0.944,0.0,0.858,0.142,0.0,0.0,1.0,0.0,0.8555,0.0,0.724,0.276
184,1125755,0,0.4939,0.014,0.952,0.034,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
185,1132304,1,0.9758,0.0,0.848,0.152,0.0,0.0,1.0,0.0,0.9723,0.0,0.766,0.234
186,1158720,1,0.6124,0.027,0.922,0.051,0.0,0.0,1.0,0.0,0.4019,0.0,0.69,0.31
187,1197825,1,0.9725,0.0,0.863,0.137,0.4754,0.038,0.872,0.09,0.9259,0.0,0.658,0.342
188,1213878,1,0.9538,0.009,0.877,0.113,0.0,0.0,1.0,0.0,0.6369,0.0,0.887,0.113
189,1250847,1,0.9915,0.008,0.756,0.236,0.9752,0.0,0.798,0.202,0.981,0.0,0.792,0.208
190,1261715,0,0.9878,0.0,0.81,0.19,0.0,0.0,1.0,0.0,0.5719,0.0,0.748,0.252
191,1273964,1,0.971,0.019,0.827,0.154,0.8296,0.0,0.845,0.155,0.9666,0.0,0.593,0.407
192,1328998,0,0.8896,0.0,0.884,0.116,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
193,1342604,1,0.9844,0.0,0.842,0.158,0.0,0.0,1.0,0.0,0.9577,0.0,0.831,0.169
194,1355138,1,0.9435,0.0,0.881,0.119,-0.4404,0.116,0.884,0.0,0.0516,0.064,0.868,0.068
195,1355595,1,0.9731,0.015,0.844,0.141,0.4939,0.0,0.758,0.242,0.9799,0.0,0.75,0.25
196,1359310,0,0.7696,0.0,0.949,0.051,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
197,1362758,1,0.9565,0.0,0.877,0.123,0.0,0.0,1.0,0.0,0.9638,0.026,0.711,0.263
198,1381350,0,0.6696,0.0,0.936,0.064,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
199,1385255,1,0.9694,0.013,0.835,0.152,0.7184,0.0,0.905,0.095,0.5994,0.0,0.642,0.358
200,1394833,1,0.9855,0.0,0.82,0.18,0.0,0.0,1.0,0.0,0.4019,0.0,0.928,0.072
201,1434387,1,0.9643,0.031,0.838,0.131,0.9806,0.021,0.812,0.167,0.9735,0.027,0.635,0.338
202,1463032,1,0.9827,0.0,0.834,0.166,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
203,1478113,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5859,0.0,0.821,0.179
204,1481022,1,0.5994,0.0,0.96,0.04,0.0,0.0,1.0,0.0,0.7184,0.0,0.4,0.6
205,1481834,1,0.9358,0.009,0.89,0.101,0.5221,0.0,0.716,0.284,0.8418,0.0,0.689,0.311
206,1497247,0,0.9636,0.026,0.845,0.129,0.0,0.0,1.0,0.0,0.6369,0.0,0.588,0.412
207,1505430,1,0.9419,0.0,0.888,0.112,0.0,0.0,1.0,0.0,0.9949,0.039,0.631,0.33
208,1518352,1,0.8689,0.01,0.92,0.07,0.0,0.0,1.0,0.0,0.9633,0.053,0.572,0.376
209,1518980,1,0.9313,0.0,0.83,0.17,0.0,0.0,1.0,0.0,0.6369,0.0,0.625,0.375
210,1524674,1,0.9595,0.024,0.851,0.126,0.8766,0.0,0.374,0.626,0.9723,0.0,0.519,0.481
211,1534335,1,0.9004,0.021,0.842,0.137,0.5927,0.0,0.901,0.099,0.8353,0.0,0.875,0.125
212,1536195,1,0.9796,0.008,0.809,0.183,0.8398,0.0,0.833,0.167,0.0,0.0,1.0,0.0
213,1537237,0,0.8807,0.0,0.915,0.085,0.0,0.0,1.0,0.0,0.6249,0.029,0.874,0.097
214,1547864,0,0.5994,0.0,0.782,0.218,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
215,1553501,0,0.9615,0.013,0.849,0.138,0.7317,0.0,0.755,0.245,0.6124,0.0,0.865,0.135
216,1560042,0,0.9246,0.009,0.89,0.1,0.0,0.0,1.0,0.0,0.9896,0.016,0.655,0.329
217,1563900,1,0.9217,0.041,0.847,0.111,-0.1027,0.03,0.97,0.0,0.8555,0.0,0.769,0.231
218,1576125,1,0.9705,0.0,0.856,0.144,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
219,1576417,1,0.946,0.0,0.892,0.108,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
220,1579894,1,0.9665,0.012,0.851,0.137,0.0258,0.05,0.886,0.064,0.1298,0.067,0.835,0.097
221,1582913,0,0.989,0.0,0.795,0.205,0.5994,0.0,0.905,0.095,0.0,0.0,1.0,0.0
222,1583637,1,0.9081,0.0,0.932,0.068,0.5994,0.0,0.849,0.151,0.9883,0.0,0.845,0.155
223,1585526,0,0.9359,0.0,0.904,0.096,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
224,1586508,1,0.9862,0.0,0.841,0.159,0.9545,0.034,0.818,0.148,0.9953,0.078,0.686,0.236
225,1591094,0,0.7269,0.012,0.931,0.057,0.0,0.0,1.0,0.0,0.9896,0.016,0.655,0.329
226,1593284,0,0.9245,0.013,0.881,0.106,0.91,0.0,0.78,0.22,0.967,0.042,0.645,0.313
227,1593971,0,0.9557,0.0,0.885,0.115,0.91,0.0,0.78,0.22,0.967,0.042,0.645,0.313
228,1596778,1,0.9655,0.0,0.859,0.141,0.0,0.0,1.0,0.0,0.9744,0.0,0.654,0.346
229,1597701,1,0.9129,0.02,0.895,0.085,0.7178,0.0,0.76,0.24,0.9747,0.0,0.653,0.347
230,1598100,1,0.9616,0.025,0.847,0.128,0.8646,0.0,0.704,0.296,0.3182,0.0,0.881,0.119
231,1603105,0,-0.7287,0.082,0.86,0.058,0.0,0.0,1.0,0.0,0.8687,0.046,0.743,0.211
232,1604313,0,0.8462,0.018,0.912,0.07,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
233,1604485,0,0.9307,0.017,0.886,0.097,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
234,1605615,1,0.9811,0.0,0.846,0.154,0.9796,0.0,0.798,0.202,0.9574,0.124,0.48,0.396
235,1606773,1,0.9559,0.053,0.803,0.144,0.6369,0.0,0.323,0.677,0.9786,0.0,0.572,0.428
236,1607395,0,0.7959,0.0,0.782,0.218,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
237,1607724,1,0.9884,0.018,0.776,0.206,0.5267,0.0,0.93,0.07,-0.34,0.255,0.745,0.0
238,1608496,1,0.9755,0.024,0.815,0.161,0.0,0.0,1.0,0.0,0.9558,0.0,0.888,0.112
239,1611135,0,0.875,0.0,0.919,0.081,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
